Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
Bayard Norcross,2,0,0,0,28,1,1,0,0,0,1,0
Bearded Ben,2,0,0,0,0,1,0,0,0,0,1,0
Becca,2,0,0,0,12,0,0,1,0,0,0,0
Becca the Baker,2,1,3,34,34,0,0,0,0,1,0,0
Bedwyck,2,0,0,0,13,1,0,0,1,1,0,1
Belaquo,2,0,0,0,52,1,0,0,0,0,0,1
Bella,2,0,0,0,29,0,0,0,0,1,0,0
Bellegere Otherys (courtesan),2,0,0,0,34,0,1,0,0,0,1,0
Bellonara Otherys,2,0,0,0,34,0,1,0,0,0,1,0
Belwas,3,0,0,0,63,1,0,0,1,1,0,1
Ben,3,0,0,0,37,1,0,0,0,0,1,0
Ben Bones,3,0,0,0,12,1,0,0,0,0,0,1
Ben Plumm,3,0,0,0,57,1,0,0,0,1,0,1
Benedar Belmore,3,0,0,0,23,1,1,0,0,0,1,0
Benfred Tallhart,3,1,2,37,16,1,1,0,1,0,0,0
Benfrey Frey,3,1,5,51,51,1,1,0,0,1,0,0
Benjen Stark,3,1,1,24,5,1,1,1,0,0,0,0
Bennet,3,1,4,31,31,1,0,0,0,0,1,0
Beric Dondarrion,3,1,4,27,42,1,1,1,0,1,0,0
Bessa (Winterfell),3,0,0,0,37,0,0,1,0,0,0,0
Beth Cassel,3,0,0,0,7,0,1,1,1,0,0,0
Bhakaz zo Loraq,3,0,0,0,2,1,1,0,0,0,0,1
Big Boil,3,0,0,0,41,1,0,0,0,1,0,0
Big Walder Frey,3,0,0,0,0,1,1,1,1,0,0,1
Biter,3,1,4,37,1,1,0,0,1,0,1,0
Black Bernarr,3,0,0,0,18,1,0,0,0,1,0,1
Black Walder Frey,3,0,0,0,35,1,1,0,0,1,0,0
Blane,3,0,0,0,23,1,0,0,1,0,0,0
Bloodbeard,3,0,0,0,25,1,0,0,0,0,0,1
Blue Bard,3,0,0,0,12,1,0,0,0,0,1,0
Bonifer Hasty,3,0,0,0,65,1,1,0,1,0,1,0
Borcas,3,0,0,0,48,1,0,1,0,0,0,0
Boremund Harlaw,3,0,0,0,11,1,1,0,0,0,1,0
Boros Blount,3,0,0,0,8,1,1,1,1,1,1,1
Borroq,3,0,0,0,0,1,0,0,0,0,0,1
Bowen Marsh,3,0,0,0,21,1,0,1,0,1,0,1
Bran Stark,3,0,0,0,1,1,1,1,1,1,0,1
Brandon Norrey,3,0,0,0,49,1,1,0,0,0,0,1
Brenett,3,0,0,0,49,1,0,0,0,1,0,0
Brienne of Tarth,3,0,0,0,22,0,1,0,1,1,1,1
Bronn,3,0,0,0,28,1,1,1,1,1,0,0
Brown Bernarr,3,1,3,33,23,1,0,0,1,1,0,0
Brusco,3,0,0,0,22,1,0,0,0,0,1,1
Bryan Fossoway,3,1,2,62,42,1,1,1,1,0,0,0
Bryce Caron,3,1,2,65,29,1,1,1,1,0,0,0
Bryen,3,0,0,0,68,1,0,0,0,1,0,0
Bryen Farring,3,1,5,62,10,1,1,0,1,0,0,1
Brynden Rivers,3,0,0,0,34,1,1,0,0,0,0,1
Brynden Tully,3,0,0,0,2,1,1,1,1,1,1,0
Burton Crakehall,3,1,2,7,55,1,1,1,1,0,0,0
Butterbumps,3,0,0,0,6,1,0,0,0,1,0,0
Byam Flint,3,1,3,33,33,1,0,0,0,1,0,0
Byan Votyris,3,0,0,0,54,1,0,1,0,0,0,0
Byron,3,0,0,0,41,1,0,0,0,0,1,0
Cadwyn,3,0,0,0,47,1,0,0,1,0,0,0
Caleotte,3,0,0,0,2,1,0,0,0,0,1,1
Catelyn Tully,3,1,3,51,2,0,1,1,1,1,0,0
Cayn,3,1,1,49,4,1,0,1,0,0,0,0
Cellador,3,0,0,0,48,1,0,1,0,1,0,1
Cersei Frey,3,0,0,0,49,0,1,0,0,1,0,0
Cersei Lannister,4,0,0,0,4,0,1,1,1,1,1,1
Chataya,4,0,0,0,15,0,0,0,1,0,0,0
Chayle,4,1,2,50,9,1,0,1,1,0,0,0
Chella,4,0,0,0,56,0,0,1,1,1,0,0
Chett,4,1,3,46,41,1,0,1,1,1,0,0
Chiggen,4,1,1,42,31,1,0,1,0,0,0,0
Chiswyck,4,1,2,30,26,1,0,0,1,0,0,0
Clayton Suggs,5,0,0,0,17,1,0,0,0,0,0,1
Clement Piper,5,0,0,0,38,1,1,0,0,0,1,0
Cleos Frey,5,1,3,21,7,1,1,0,1,1,0,0
Cley Cerwyn,5,1,2,66,16,1,1,0,1,0,0,0
Clubfoot Karl,5,1,5,4,0,1,0,0,0,1,0,1
Clydas,5,0,0,0,41,1,0,1,0,1,1,1
Cohollo,5,1,1,64,11,1,0,1,0,0,0,0
Coldhands,5,0,0,0,46,1,0,0,0,1,0,1
Colemon,6,0,0,0,34,1,0,1,0,1,1,0
Colen of Greenpools,6,0,0,0,22,1,1,0,1,0,0,0
Conn,6,1,1,62,42,1,0,1,0,0,0,0
Conwy,6,0,0,0,6,1,0,0,1,0,0,0
Corliss Penny,6,0,0,0,26,1,0,0,0,0,0,1
Cortnay Penrose,6,1,2,42,31,1,1,0,1,0,0,0
Cotter Pyke,6,0,0,0,48,1,0,0,0,1,0,0
Cragorn,6,1,4,29,19,1,0,0,0,0,1,0
Craster,6,1,3,33,23,1,0,0,1,1,0,0
Cregan Karstark,6,0,0,0,44,1,1,0,0,0,0,1
Creighton Longbough,6,0,0,0,4,1,0,0,0,0,1,0
Cressen,6,1,1,0,0,1,0,0,1,0,0,0
Cuger,6,0,0,0,0,1,0,1,0,0,0,0
Cutjack,6,0,0,0,5,1,0,0,1,0,0,0
Daario Naharis,6,0,0,0,42,1,0,0,0,1,0,1
Dacey Mormont,6,1,3,51,63,0,1,1,0,1,0,0
Daemon Sand,6,0,0,0,38,1,0,0,0,1,0,1
Daenerys Targaryen,6,0,0,0,3,0,1,1,1,1,0,1
Dagon Codd,6,1,5,20,20,1,1,0,0,0,0,1
Dagmer,6,0,0,0,11,1,0,0,1,0,0,0
Dalbridge,6,1,2,53,43,1,0,0,1,0,0,0
Dale Seaworth,6,1,2,58,10,1,1,0,1,0,0,0
Dalla,6,1,3,76,73,0,1,0,0,1,0,0
Dalla (Dragonstone),6,0,0,0,0,0,0,0,1,0,0,0
Damon Dance-for-Me,7,0,0,0,12,1,0,0,0,0,0,1
Damon Vypren,7,0,0,0,49,1,1,0,0,1,0,0
Dancy,7,0,0,0,29,0,0,0,1,0,0,0
Danwell Frey,7,0,0,0,59,1,1,1,1,1,1,0
Dareon,7,1,4,34,19,1,0,1,0,0,1,0
Daryn Hornwood,7,1,1,63,63,1,1,1,0,0,0,0
Daven Lannister,7,0,0,0,12,1,1,0,0,0,1,0
Davos Seaworth,7,0,0,0,0,1,1,0,1,1,0,1
Del,7,1,3,41,41,1,0,0,0,1,0,0
Delp,7,1,3,20,39,1,0,0,1,1,0,0
Denys Drumm,7,0,0,0,19,1,1,0,0,0,1,0
Denys Mallister,7,0,0,0,48,1,1,0,0,1,0,0
Dermot,7,0,0,0,65,1,0,0,1,0,1,0
Desmond,7,1,1,50,1,1,0,1,0,0,0,0
Desmond Grell,7,0,0,0,7,1,1,0,1,1,1,0
Devan Seaworth,7,0,0,0,10,1,1,0,1,1,0,1
Deziel Dalt,7,0,0,0,38,1,1,0,0,1,0,1
Dhazzar,7,0,0,0,2,1,1,0,0,0,0,1
Dick Crabb,7,1,4,20,9,1,0,0,0,0,1,0
Dick Follard,7,1,3,55,41,1,0,0,0,1,0,0
Dickon Manwoody,7,0,0,0,38,1,1,0,0,1,0,0
Dirk,8,1,5,4,0,1,0,0,0,1,0,1
Dobber,8,1,2,14,5,1,0,0,1,0,0,0
Donal Noye,8,1,3,64,19,1,0,1,1,1,0,0
Donella Hornwood,8,1,2,35,16,0,1,0,1,0,0,0
Donnel Drumm,8,0,0,0,19,1,1,0,0,0,1,0
Donnel Haigh,8,0,0,0,49,1,1,0,0,1,0,0
Donnel Hill,8,0,0,0,0,1,0,0,0,1,0,1
Donnel Locke,8,1,3,51,25,1,1,0,1,1,0,0
Donnel Waynwood,8,0,0,0,34,1,1,1,0,0,0,0
Donnis,8,0,0,0,7,1,0,1,0,0,0,0
Dontos Hollard,8,1,3,61,57,1,1,1,1,1,0,0
Donyse,8,0,0,0,72,0,0,0,0,1,0,0
Doran Martell,9,0,0,0,2,1,1,0,0,0,1,1
Doreah,9,1,2,12,11,0,0,1,1,0,0,0
Dornish Dilly,9,1,3,55,55,1,0,0,0,1,0,0
Draqaz,9,0,0,0,2,1,1,0,0,0,0,1
Drennan,9,1,2,50,50,1,0,0,1,0,0,0
Drogo,9,1,1,64,3,1,1,1,0,0,0,0
Dudley,9,1,3,34,34,1,0,0,0,1,0,0
Dunsen,9,0,0,0,26,1,0,0,1,0,0,0
Dunstan Drumm,9,0,0,0,19,1,1,0,0,0,1,0
Duram Bar Emmon,9,0,0,0,0,1,1,0,1,0,0,0
Dykk Harlaw,9,1,2,66,66,1,0,0,1,0,0,0
Dywen,9,0,0,0,48,1,0,1,1,1,0,1
Easy,9,1,3,55,55,1,0,0,0,1,0,0
Ebben,9,1,2,68,43,1,0,0,1,0,0,0
Eddard Karstark,9,1,1,63,53,1,1,1,0,0,0,0
Eddard Stark,9,1,1,65,1,1,1,1,0,0,0,0
Eddison Tollett,9,0,0,0,13,1,0,0,1,1,1,1
Edmure Tully,9,0,0,0,28,1,1,1,1,1,1,0
Edric Dayne,9,0,0,0,34,1,1,0,0,1,0,0
Edric Storm,9,0,0,0,10,1,0,0,0,1,0,0
Edwyn Frey,9,0,0,0,38,1,1,0,0,1,1,0
Eggon,9,0,0,0,30,1,0,0,1,0,0,0
Elder Brother,9,0,0,0,31,1,0,0,0,0,1,0
Eldred Codd,9,0,0,0,18,1,1,0,0,0,1,0
Eleyna Westerling,9,0,0,0,45,0,1,0,0,1,1,0
Elinor Tyrell,9,0,0,0,6,0,1,0,0,1,1,0
Ellaria Sand,9,0,0,0,38,0,1,0,0,1,0,1
Elmar Frey,9,0,0,0,59,1,1,1,1,1,0,0
Elyas Willum,9,0,0,0,22,1,1,0,1,0,0,0
Emmon Cuy,9,1,2,42,33,1,1,0,1,0,0,0
Emmon Frey,9,0,0,0,29,1,1,1,0,0,1,0
Emmond,9,0,0,0,1,1,0,0,0,0,1,0
Emrick,9,0,0,0,75,1,0,0,0,1,0,1
Endehar,9,0,0,0,56,1,0,0,1,0,0,0
Elwood,9,1,3,20,20,1,0,0,0,1,0,0
Endrew Tarth,10,1,3,69,60,1,0,1,0,1,0,0
Enger,10,0,0,0,39,1,0,0,1,0,0,0
Eon Hunter,10,1,3,80,38,1,1,1,0,1,0,0
Erik Ironmaker,10,0,0,0,19,1,1,0,0,0,1,0
Ermesande Hayford,10,0,0,0,2,0,1,0,1,1,1,0
Eroeh,10,1,1,68,61,1,0,1,0,0,0,0
Erreck,10,0,0,0,12,1,0,0,0,1,0,0
Erryk (Guard),10,0,0,0,6,1,0,0,0,1,1,0
Esgred,10,0,0,0,24,1,0,0,1,0,0,0
Ezzara,10,0,0,0,30,0,0,0,0,0,0,1
Falia Flowers,10,0,0,0,29,0,0,0,0,0,1,0
Falyse Stokeworth,10,1,5,36,2,0,1,0,1,0,1,0
Farlen,10,1,2,56,46,1,0,0,1,0,0,0
Fat Walda Frey,10,0,0,0,37,0,1,0,0,1,0,1
Flement Brax,10,0,0,0,56,1,1,1,0,1,1,0
Fletcher Will,10,1,3,34,34,1,0,0,0,1,0,0
Fogo,10,1,1,61,46,1,1,1,0,0,0,0
Forley Prester,10,0,0,0,33,1,1,0,0,0,1,0
Fornio,10,0,0,0,33,1,0,0,0,1,0,0
Frenken,11,0,0,0,15,1,0,0,1,1,0,0
Frenya,11,1,5,69,37,0,0,0,0,0,0,1
Frynne,11,0,0,0,40,0,0,0,0,0,1,0
Gage,11,0,0,0,4,1,1,0,1,0,0,0
Galazza Galare,11,0,0,0,23,0,1,0,0,0,0,1
Galbart Glover,11,0,0,0,55,1,1,1,0,1,0,0
Gared,11,1,1,1,0,1,0,1,0,0,0,0
Garin (Orphan),11,0,0,0,21,1,0,0,0,0,1,0
Gariss,12,0,0,0,50,1,0,0,1,0,0,0
Garlan Tyrell,12,0,0,0,62,1,1,0,1,1,1,0
Garrett Paege,12,0,0,0,30,1,1,0,0,0,1,0
Garse Goodbrook,12,1,3,0,0,1,1,0,0,1,0,0
Garth Greyfeather,12,1,5,31,48,1,0,0,0,1,0,1
Garth of Greenaway,12,1,5,4,33,1,0,0,0,1,0,1
Garth of Oldtown,12,1,3,33,33,1,0,0,0,1,0,0
Gawen Westerling,12,0,0,0,33,1,1,0,0,0,1,0
Gelmarr,12,1,2,56,50,1,0,0,1,0,0,0
Gendry,12,0,0,0,27,1,0,1,1,1,1,0
Genna Lannister,12,0,0,0,33,0,1,0,0,0,1,0
Gerald Gower,13,0,0,0,54,1,1,0,0,1,0,0
Gerold Dayne,13,0,0,0,13,1,1,0,0,0,1,0
Gerren,13,1,2,19,14,1,0,0,1,0,0,0
Gerris Drinkwater,13,0,0,0,6,1,1,0,0,0,0,1
Gevin Harlaw,13,1,2,66,37,1,1,0,1,0,0,0
Ghael,13,0,0,0,71,1,0,0,0,1,0,1
Ghost of High Heart,13,0,0,0,22,0,0,0,0,1,0,0
Gillam,13,0,0,0,31,1,0,0,0,0,1,0
Gilly,13,0,0,0,23,0,0,0,1,1,1,1
Gilwood Hunter,13,0,0,0,80,1,1,0,0,1,0,0
Gladden Wylde,13,1,1,55,43,1,1,1,0,0,0,0
Glendon Hewett,13,0,0,0,69,1,0,0,0,1,0,0
Goady,13,0,0,0,0,1,0,0,0,1,0,0
Godric Borrell,13,0,0,0,9,1,1,0,0,0,0,1
Godry Farring,13,0,0,0,3,1,1,0,0,0,0,1
Godwyn,13,0,0,0,32,1,0,1,0,0,0,0
Goghor,13,0,0,0,52,1,0,0,0,0,0,1
Gormond Goodbrother,13,0,0,0,1,1,1,0,0,0,1,0
Gorold Goodbrother,13,0,0,0,1,1,1,0,0,0,1,0
Gran Goodbrother,13,0,0,0,1,1,1,0,0,0,1,0
Grazdan,13,1,3,27,27,1,1,0,0,1,0,0
Grazdan mo Eraz,13,0,0,0,42,1,1,0,0,1,0,0
Grazdan mo Ullhor,13,1,3,27,27,1,1,0,0,1,0,0
Grazdan zo Galare,13,0,0,0,2,1,1,0,0,0,0,1
Grazdar zo Galare,13,0,0,0,2,1,1,0,0,0,0,1
Gregor Clegane,13,1,4,72,29,1,1,1,1,1,0,0
Grenn,13,0,0,0,19,1,0,1,1,1,1,1
Grey Worm,13,0,0,0,42,1,0,0,0,1,0,1
Greydon Goodbrother,13,0,0,0,1,1,1,0,0,0,1,0
Grigg,13,0,0,0,30,1,0,0,0,1,0,0
Grisel,13,0,0,0,68,0,0,0,0,1,0,0
Groleo,13,1,5,59,0,1,0,0,0,1,0,1
Grubbs,13,1,5,4,0,1,0,0,0,1,0,1
Grunt,13,0,0,0,12,1,0,0,0,0,0,1
Gueren,13,0,0,0,38,1,0,1,0,0,0,0
Guncer Sunglass,13,1,3,10,0,1,1,0,1,1,0,0
Guyard Morrigen,13,1,2,62,22,1,1,0,1,0,0,0
Gwin Goodbrother,13,0,0,0,1,0,1,0,0,0,1,0
Gylbert Farwynd,13,0,0,0,19,1,1,0,0,0,1,0
Gyles Farwynd,13,0,0,0,19,1,1,0,0,0,1,0
Gyles Grafton,13,0,0,0,41,1,1,0,0,0,1,0
Gyles Rosby,13,1,4,39,57,1,1,1,1,1,1,0
Gynir,13,1,2,56,50,1,0,0,1,0,0,0
Gysella Goodbrother,13,0,0,0,1,0,1,0,0,0,1,0
Haggo,13,1,1,64,11,1,0,1,0,0,0,0
Hairy Hal,13,1,5,31,55,1,0,0,0,1,1,1
Hake,13,1,3,46,52,1,0,1,1,1,0,0
Halder,13,0,0,0,19,1,0,1,0,1,0,0
Haldon,13,0,0,0,8,1,0,0,0,0,0,1
Hali,13,1,1,37,37,0,0,1,0,0,0,0
Hallis Mollen,13,0,0,0,14,1,1,1,1,0,0,0
Hallyne,13,0,0,0,17,1,0,0,1,0,1,0
Halys Hornwood,13,1,1,62,53,1,1,1,0,0,0,0
Hamish the Harper,13,1,5,43,32,1,0,0,0,1,1,0
Hareth (Mole s Town),13,0,0,0,64,1,0,0,0,1,0,1
Harghaz,13,1,5,70,52,1,0,0,0,0,0,1
Harma,13,1,3,75,0,0,1,0,0,1,0,0
Harmund Sharp,13,0,0,0,19,1,1,0,0,0,1,0
Harmune,13,0,0,0,78,1,0,0,0,0,0,1
Harra,13,1,2,64,26,0,0,0,1,0,0,0
Harrag Sharp,13,1,5,19,66,1,1,0,1,0,1,0
Harras Harlaw,13,0,0,0,11,1,1,0,0,0,1,0
Harwood Fell,13,1,5,42,17,1,1,0,0,0,0,1
Hazzea,13,1,5,11,11,0,0,0,0,0,0,1
Harrion Karstark,13,0,0,0,53,1,1,1,1,0,0,0
Harry Strickland,13,0,0,0,24,1,0,0,0,0,0,1
Harwin,13,0,0,0,1,1,0,1,0,1,1,0
Harwood Stout,13,0,0,0,32,1,1,0,0,0,0,1
Harys Haigh,13,0,0,0,64,1,1,0,1,1,0,0
Harys Swyft,13,0,0,0,69,1,1,1,1,1,1,1
Helman Tallhart,13,1,3,37,55,1,1,1,0,1,0,0
Henly (Maester),13,0,0,0,37,1,0,0,0,0,0,1
Heward,13,1,1,35,35,1,0,1,0,0,0,0
High Sparrow,13,0,0,0,4,1,0,0,0,0,1,1
Hobb,13,0,0,0,52,1,0,1,0,1,0,1
Hobber Redwyne,13,0,0,0,27,1,1,1,1,1,1,0
Hod,13,0,0,0,5,1,0,0,1,0,0,0
Hodor,13,0,0,0,24,1,0,1,1,1,0,1
Holger,13,0,0,0,49,1,0,0,1,0,0,0
Holly,13,1,5,69,37,0,0,0,0,0,0,1
Hop-Robin,13,0,0,0,75,1,0,0,0,1,0,1
Horas Redwyne,14,0,0,0,27,1,1,1,1,0,1,0
Horton Redfort,14,0,0,0,23,1,1,0,0,0,1,0
Hosteen Frey,14,0,0,0,59,1,1,1,1,1,0,1
Hoster Tully,14,1,3,35,71,1,1,1,1,1,0,0
Hot Pie,14,0,0,0,1,1,0,0,1,1,0,0
Hother Umber,14,0,0,0,16,1,1,0,1,0,0,1
Howd Wanderer,14,0,0,0,58,1,1,0,0,0,0,1
Hubard Rambton,14,1,5,10,10,1,1,0,1,0,0,0
Hugh,14,1,1,29,25,1,0,1,0,0,0,0
Hugo Vance,14,0,0,0,30,1,1,0,0,0,1,0
Hullen,14,1,1,50,1,1,0,1,0,0,0,0
Humfrey Swyft,14,0,0,0,16,1,1,0,0,0,1,0
Husband,14,0,0,0,11,1,0,0,0,1,0,0
Hyle Hunt,14,1,4,42,14,1,1,0,0,0,1,0
Iggo,14,1,3,3,3,1,0,0,0,1,0,0
Illyrio Mopatis,14,0,0,0,3,1,1,1,0,0,0,1
Ilyn Payne,14,0,0,0,15,1,1,1,1,1,1,0
Imry Florent,14,1,3,4,58,1,1,0,1,1,0,0
Iron Emmett,14,0,0,0,79,1,0,0,0,1,0,1
Irri,14,0,0,0,11,0,0,1,1,1,0,1
Ithoke,14,0,0,0,11,1,0,0,0,0,0,1
Jacelyn Bywater,14,1,2,19,8,0,1,0,1,0,0,0
Jack Bulwer,14,1,5,31,64,1,0,0,0,1,1,1
Jack-Be-Lucky,14,0,0,0,17,1,0,0,0,1,1,0
Jacks,14,0,0,0,22,1,0,1,1,0,0,0
Jaggot,15,0,0,0,42,1,0,1,0,0,0,0
Jaime Lannister,15,0,0,0,5,1,1,1,1,1,1,1
Jalabhar Xho,15,0,0,0,29,1,1,1,1,1,1,0
Janna Tyrell,15,0,0,0,6,0,1,0,0,1,1,0
Janos Slynt,15,1,5,7,27,1,1,1,1,1,0,1
Jaqen H ghar,15,0,0,0,5,1,0,0,1,0,1,0
Jared Frey,15,1,5,37,59,1,1,1,1,0,0,1
Jaremy Rykker,15,1,5,60,21,1,1,1,0,0,0,0
Jarl,15,1,3,26,7,1,0,0,0,1,0,0
Jarman Buckwell,15,1,5,21,13,1,0,0,1,0,0,1
Jason Mallister,15,0,0,0,28,1,1,1,0,1,0,0
Jate,15,0,4,44,44,1,0,0,0,0,1,0
Jate Blackberry,15,0,3,10,10,1,0,0,0,1,0,0
Jeor Mormont,15,1,3,33,48,1,1,1,1,1,0,0
Jeren,15,0,0,0,19,1,0,1,0,0,0,0
Jeyne Poole,15,0,0,0,7,0,1,1,0,1,0,1
Jeyne Westerling,15,0,0,0,14,0,1,0,0,1,1,0
Jhaqo,15,0,0,0,68,1,1,1,0,0,0,1
Jhezane,15,0,0,0,2,0,1,0,0,0,0,1
Jhiqui,15,0,0,0,11,0,0,1,1,1,0,1
Jhogo,15,0,0,0,23,1,0,1,1,1,0,1
Jocelyn Swyft,15,0,0,0,3,0,1,0,0,0,1,1
Jodge,15,0,0,0,30,1,0,0,1,0,0,0
Jojen Reed,15,0,0,0,21,1,1,0,1,1,0,1
Jommy,15,0,0,0,0,1,0,0,1,0,0,0
Jon Bettley,15,0,0,0,16,1,1,0,0,0,1,0
Jon Connington,15,0,0,0,5,1,1,0,0,0,0,1
Jon Fossoway,15,0,0,0,22,1,1,0,1,0,0,0
Jon Snow,15,0,0,0,1,1,1,1,1,1,1,1
Jon Umber (Greatjon),15,0,0,0,51,1,1,1,1,1,0,0
Joffrey Baratheon,15,1,3,60,5,1,1,1,1,1,0,0
Jon Umber (Smalljon),15,1,3,51,63,1,1,1,0,1,0,0
Jonelle Cerwyn,15,0,0,0,53,0,1,1,0,0,0,0
Jonos Bracken,15,0,0,0,28,1,1,1,0,1,0,1
Jorah Mormont,15,0,0,0,23,1,1,1,1,1,0,1
Jory Cassel,15,1,1,35,1,1,1,1,0,0,0,0
Joseran,15,0,0,0,11,1,0,0,0,0,1,0
Joseth,15,0,0,0,37,1,0,1,1,0,0,0
Josmyn Peckledon,15,0,0,0,65,1,0,0,1,1,1,1
Joss,15,0,0,0,43,1,0,1,0,0,0,0
Joss Stilwood,15,0,0,0,0,1,0,1,0,0,0,0
Josua Willum,15,0,0,0,22,1,1,0,1,0,0,0
Jothos Slynt,15,0,0,0,66,1,1,0,0,1,0,0
Joyeuse Erenford,15,0,0,0,28,0,1,1,0,1,0,0
Justin Massey,15,0,0,0,7,1,1,0,0,0,0,1
Jyck,15,1,1,31,21,1,0,1,0,0,0,0
Jynessa Blackmont,15,0,0,0,38,0,1,0,0,1,0,0
Karyl Vance,15,0,0,0,43,1,1,1,0,1,1,0
Kedge Whiteye,15,0,0,0,43,1,0,0,1,1,1,0
Kella,15,0,0,0,68,0,0,0,0,1,0,0
Kennos of Kayce,15,0,0,0,6,1,1,0,0,1,1,1
Ketter,15,0,0,0,52,1,0,1,0,0,0,0
Kenned,15,1,2,66,66,1,0,0,1,0,0,0
Kerwin,15,1,5,56,29,1,0,0,0,0,1,1
Kevan Lannister,15,1,5,0,56,1,1,1,1,1,1,1
Kezmya,15,0,0,0,2,0,1,0,0,0,0,1
Khorane Sathmantes,15,0,0,0,10,1,0,0,0,1,0,0
Khrazz,15,1,5,67,11,1,0,0,0,0,0,1
